0,"['Emerald Lake Trail', 'MODERATE', '3.1 miles', '708 feet', 'Out & Back', 'kid friendly', 'birding', 'fishing', 'hiking', 'nature trips', 'snowshoeing', 'walking', 'forest', 'lake', 'river', 'views', 'wild flowers', 'wildlife', 'rocky', 'snow', 'no dogs']"
1,"['Royal Arch Trail', 'HARD', '3.0 miles', '1,377 feet', 'Out & Back', 'dog friendly', 'kid friendly', 'hiking', 'nature trips', 'snowshoeing', 'trail running', 'walking', 'forest', 'views', 'wild flowers', 'wildlife', 'muddy', 'rocky', 'scramble', 'snow']"
2,"['Beaver Brook and Chavez Trail Loop', 'HARD', '5.1 miles', '1,105 feet', 'Loop', 'dogs on leash', 'kid friendly', 'birding', 'hiking', 'nature trips', 'rock climbing', 'trail running', 'walking', 'forest', 'river', 'views', 'wild flowers', 'wildlife', 'rocky']"
3,"['Hanging Lake Trail ', 'MODERATE', '2.8 miles', '1,204 feet', 'Out & Back', 'kid friendly', 'birding', 'hiking', 'nature trips', 'trail running', 'walking', 'cave', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild flowers', 'wildlife', 'rocky', 'scramble', 'snow', 'no dogs']"
4,"['Maxwell Falls Lower Trail', 'MODERATE', '4.2 miles', '875 feet', 'Loop', 'dogs on leash', 'camping', 'hiking', 'horseback riding', 'mountain biking', 'trail running', 'forest', 'river', 'views', 'waterfall', 'wild flowers']"
5,"['Sky Pond via Glacier Gorge Trail', 'HARD', '8.1 miles', '1,765 feet', 'Out & Back', 'birding', 'hiking', 'nature trips', 'snowshoeing', 'trail running', 'walking', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild flowers', 'wildlife', 'muddy', 'rocky', 'scramble', 'snow', 'no dogs']"
6,"['Mount Sanitas and Sanitas Valley Loop Trail', 'MODERATE', '3.2 miles', '1,256 feet', 'Loop', 'dogs on leash', 'kid friendly', 'birding', 'hiking', 'horseback riding', 'nature trips', 'trail running', 'walking', 'forest', 'views', 'wild flowers', 'wildlife', 'rocky']"
7,"['Mount Bierstadt Trail', 'HARD', '6.9 miles', '2,729 feet', 'Out & Back', 'dogs on leash', 'backpacking', 'birding', 'hiking', 'horseback riding', 'nature trips', 'skiing', 'snowshoeing', 'trail running', 'walking', 'forest', 'lake', 'views', 'wild flowers', 'wildlife', 'muddy', 'rocky', 'scramble', 'snow', 'no shade']"
8,"['Gem Lake Trail', 'MODERATE', '3.1 miles', '990 feet', 'Out & Back', 'camping', 'hiking', 'nature trips', 'walking', 'forest', 'lake', 'views', 'wild flowers', 'wildlife', 'rocky', 'scramble', 'snow', 'no dogs']"
9,"[""Saint Mary's Glacier"", 'EASY', '1.9 miles', '807 feet', 'Out & Back', 'dogs on leash', 'kid friendly', 'camping', 'cross country skiing', 'fishing', 'hiking', 'nature trips', 'rock climbing', 'snowshoeing', 'trail running', 'walking', 'forest', 'lake', 'views', 'wild flowers', 'wildlife', 'rocky', 'snow']"
10,"['Mohawk Lakes Trail', 'MODERATE', '8.6 miles', '2,129 feet', 'Out & Back', 'dog friendly', 'birding', 'cross country skiing', 'fishing', 'hiking', 'horseback riding', 'nature trips', 'scenic driving', 'walking', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild flowers', 'wildlife', 'muddy', 'rocky', 'snow']"
11,"['Seven Bridges Trail', 'MODERATE', '3.7 miles', '1,033 feet', 'Out & Back', 'dogs on leash', 'kid friendly', 'hiking', 'mountain biking', 'paddle sports', 'trail running', 'walking', 'forest', 'river', 'views', 'waterfall', 'wild flowers', 'wildlife', 'snow']"
12,"['Mount Falcon Castle Trail', 'MODERATE', '7.6 miles', '1,732 feet', 'Out & Back', 'dogs on leash', 'kid friendly', 'hiking', 'horseback riding', 'mountain biking', 'snowshoeing', 'trail running', 'walking', 'views', 'wildlife', 'rocky', 'snow']"
13,"[""Devil's Head Lookout Trail to Fire Tower "", 'MODERATE', '2.5 miles', '885 feet', 'Out & Back', 'dogs on leash', 'kid friendly', 'birding', 'hiking', 'nature trips', 'rock climbing', 'scenic driving', 'trail running', 'walking', 'forest', 'river', 'views', 'wild flowers', 'wildlife', 'snow']"
14,"['Lake Isabelle Trail', 'EASY', '4.5 miles', '462 feet', 'Out & Back', 'dogs on leash', 'kid friendly', 'birding', 'hiking', 'nature trips', 'snowshoeing', 'trail running', 'walking', 'forest', 'lake', 'views', 'waterfall', 'wild flowers', 'wildlife', 'muddy', 'rocky', 'snow']"
15,"['First and Second Flatiron Hike', 'HARD', '2.5 miles', '1,423 feet', 'Loop', 'dog friendly', 'hiking', 'rock climbing', 'trail running', 'walking', 'forest', 'views', 'wild flowers', 'wildlife', 'rocky', 'snow']"
16,"['Quandary Peak Trail', 'HARD', '6.0 miles', '3,320 feet', 'Out & Back', 'dogs on leash', 'birding', 'camping', 'cross country skiing', 'hiking', 'mountain biking', 'nature trips', 'rock climbing', 'skiing', 'snowshoeing', 'trail running', 'walking', 'forest', 'lake', 'river', 'views', 'wild flowers', 'wildlife', 'rocky', 'snow']"
